,player_name,team_name,assists,matches_played
110,LEONARDO ABRAHAO SILVEIRA,Brazil,9,6
111,Gábor Ancsin,Hungary,9,9
112,HAZEM BACHA,Tunisia,9,7
113,Quinten Colman,Belgium,9,6
114,Gualther FURTADO,Cape Verde,9,6
115,Bartosz KEDZIORA,Belgium,9,6
116,Oswaldo MAESTRO,Brazil,9,6
117,Dragan PECHMALBEC,Serbia,9,6
118,Magnus SAUGSTRUP Jensen,Denmark,9,8
119,Szymon Sićko,Poland,9,6
120,Risto VUJACIC,Montenegro,9,6
121,Philipp WEBER,Germany,9,8
122,Mohab ABDELHAK,Egypt,8,9
123,Paulo Andrade,Cape Verde,8,6
124,Bence Bánhidi,Hungary,8,9
125,Sébastien Danesi,Belgium,8,4
126,MOHAMMED EZZINE,Morocco,8,7
127,Diego FALABRINO MEDINA,Uruguay,8,7
128,Aboubakar FOFANA,United States of America,8,6
129,Raul NANTES,Brazil,8,6
130,BENHALIMA NORI SELIM,Algeria,8,6
131,James Lewis PARKER,Argentina,8,6
132,Melvyn RICHARDSON,France,8,9
133,Josip ŠARAC,Croatia,8,5
134,Ian TARRAFETA SERRANO,Spain,8,1
135,Uroš BORZAŠ,Serbia,7,6
136,Giovanni Capello,Uruguay,7,7
137,Alexandre Chan Blanco,United States of America,7,6
138,Michael DAMGAARD Nielsen,Denmark,7,3
139,Michał Daszek ,Poland,7,6
140,Paul DRUX,Germany,7,6
141,Domagoj Duvnjak,Croatia,7,6
142,SAID EL MALKI,Morocco,7,7
143,Igor Gjorgiev,North Macedonia,7,7
144,Elvar Örn JÓNSSON,Iceland,7,4
145,Vasilje KALUDJEROVIC,Montenegro,7,6
146,Michał Olejniczak,Poland,7,4
147,HADI QURAISH,Saudi Arabia,7,6
148,Kobe Serras,Belgium,7,6
149,Christoph Steinert,Germany,7,9
150,Ameen ZAKKAR,Qatar,7,6
151,MOHAMMED AL-ABAS,Saudi Arabia,6,7
152,MOHAMMAD AL-SALEM,Saudi Arabia,6,5
153,MOJTABA AL-SALEM,Saudi Arabia,6,6
154,Youssef ALI,Qatar,6,6
155,Samir Benghanem,Netherlands,6,6
156,Rodrigo Javier Botejara Meringolo,Uruguay,6,7
157,Maximiliano De Agrela Milgron,Uruguay,6,7
158,Jure DOLENEC,Slovenia,6,6
159,Jovan GACEVIC,Qatar,6,6
160,Patrick GROETZKI,Germany,6,9
161,Victor Iturriza,Portugal,6,6
162,Blaz Janc,Slovenia,6,5
163,JINYOUNG KIM,Korea,6,7
164,Raphael Kötters,Belgium,6,6
165,Kristján Örn Kristjánsson,Iceland,6,3
166,YOUSSEF MAAREF,Tunisia,6,7
167,Domen Makuc,Slovenia,6,6
168,Dika MEM,France,6,5
169,Rogerio MORAES,Brazil,6,6
170,Arkadiusz Moryto,Poland,6,6
171,ASIL NAMLI,Tunisia,6,6
172,Valentin PORTE,France,6,8
173,Serge Spooren,Belgium,6,6
174,Mujtaba Alzaimoor,Bahrain,5,6
175,Arnar Freyr Arnarsson,Iceland,5,6
176,MOHAMMADMAHDI BEHNAMNIA,Islamic Republic of Iran,5,6
177,Milos BOZOVIC,Montenegro,5,5
178,Radojica CEPIC,Montenegro,5,6
179,Seif ELDERAA,Egypt,5,9
180,Simon Ernst,Germany,5,8
181,Olle FORSELL SCHEFVERT,Sweden,5,4
182,Maciej Gębala,Poland,5,6
183,Jacob Tandrup HOLM,Denmark,5,9
184,Mads HOXER Hangaard,Denmark,5,3
185,ISLEM JBELI,Tunisia,5,7
